Pcgs_no,Country,Coin_date,Denomination,Variety,Prefix,Suffix,Qty_Minted,Reference_no,RowLastUpdated,coin_no,Service,Coin_date_Denomination_Variety
32991,,1873,5C,,SP,,0,32991,,32991,PCGS,1873-5C-
32992,,1880,5C,,SP,,0,32992,,32992,PCGS,1880-5C-
32993,,1882-H,5C,,SP,,0,32993,,32993,PCGS,1882-H-5C-
32994,,1890,5C,,SP,,0,32994,,32994,PCGS,1890-5C-
32995,,1885,5C,,SP,,0,32995,,32995,PCGS,1885-5C-
32996,,1888,5C,,SP,,0,32996,,32996,PCGS,1888-5C-
33000,,1896,5C,,SP,,0,33000,,33000,PCGS,1896-5C-
33004,,EDWARD VII,5C,,MS,,0,33004,,33004,PCGS,EDWARD VII-5C-
33005,,1903,5C,,MS,,0,33005,,33005,PCGS,1903-5C-
33006,,1904-H,5C,,MS,,0,33006,,33006,PCGS,1904-H-5C-
33007,,1908,5C,,MS,,0,33007,,33007,PCGS,1908-5C-
33012,,EDWARD VII,5C,,SP,,0,33012,,33012,PCGS,EDWARD VII-5C-
33013,,1903,5C,,SP,,0,33013,,33013,PCGS,1903-5C-
33014,,1904-H,5C,,SP,,0,33014,,33014,PCGS,1904-H-5C-
33019,,GEORGE V,5C,,MS,,0,33019,,33019,PCGS,GEORGE V-5C-
33020,,1912,5C,,MS,,0,33020,,33020,PCGS,1912-5C-
33021,,1917-C,5C,,MS,,0,33021,,33021,PCGS,1917-C-5C-
33022,,1919-C,5C,,MS,,0,33022,,33022,PCGS,1919-C-5C-
33023,,1929,5C,,MS,,0,33023,,33023,PCGS,1929-5C-
33028,,GEORGE V,5C,,SP,,0,33028,,33028,PCGS,GEORGE V-5C-
33029,,1912,5C,,SP,,0,33029,,33029,PCGS,1912-5C-
33030,,1917-C,5C,,SP,,0,33030,,33030,PCGS,1917-C-5C-
33031,,1919-C,5C,,SP,,0,33031,,33031,PCGS,1919-C-5C-
33036,,GEORGE VI,5C,,MS,,0,33036,,33036,PCGS,GEORGE VI-5C-
33037,,1938,5C,,MS,,0,33037,,33037,PCGS,1938-5C-
33038,,1940-C,5C,,MS,,0,33038,,33038,PCGS,1940-C-5C-
33039,,1941-C,5C,,MS,,0,33039,,33039,PCGS,1941-C-5C-
33040,,1942-C,5C,,MS,,0,33040,,33040,PCGS,1942-C-5C-
33041,,1943-C,5C,,MS,,0,33041,,33041,PCGS,1943-C-5C-
33042,,1944-C,5C,,MS,,0,33042,,33042,PCGS,1944-C-5C-
33043,,1945-C,5C,,MS,,0,33043,,33043,PCGS,1945-C-5C-
33044,,1946-C,5C,,MS,,0,33044,,33044,PCGS,1946-C-5C-
33045,,1947-C,5C,,MS,,0,33045,,33045,PCGS,1947-C-5C-
33046,,GEORGE VI,5C,,PL,,0,33046,,33046,PCGS,GEORGE VI-5C-
33054,,1946-C,5C,,PL,,0,33054,,33054,PCGS,1946-C-5C-
33055,,1947-C,5C,,PL,,0,33055,,33055,PCGS,1947-C-5C-
33057,,GEORGE VI,5C,,SP,,0,33057,,33057,PCGS,GEORGE VI-5C-
33058,,1938,5C,,SP,,0,33058,,33058,PCGS,1938-5C-
33059,,1940-C,5C,,SP,,0,33059,,33059,PCGS,1940-C-5C-
33063,,1946-C,5C,,SP,,0,33063,,33063,PCGS,1946-C-5C-
33064,,VICTORIA,10C,,MS,,0,33064,,33064,PCGS,VICTORIA-10C-
33065,,1865,10C,,MS,,0,33065,,33065,PCGS,1865-10C-
33066,,1870,10C,,MS,,0,33066,,33066,PCGS,1870-10C-
33067,,1871-H,10C,MULE,MS,,0,33067,,33067,PCGS,1871-H-10C-MULE
33068,,1872-H,10C,,MS,,0,33068,,33068,PCGS,1872-H-10C-
33069,,1873,10C,,MS,,0,33069,,33069,PCGS,1873-10C-
33070,,1876-H,10C,,MS,,0,33070,,33070,PCGS,1876-H-10C-
33071,,1880,10C,,MS,,0,33071,,33071,PCGS,1880-10C-
33073,,1882-H,10C,,MS,,0,33073,,33073,PCGS,1882-H-10C-
33074,,1885,10C,,MS,,0,33074,,33074,PCGS,1885-10C-
33075,,1888,10C,,MS,,0,33075,,33075,PCGS,1888-10C-
33076,,1890,10C,,MS,,0,33076,,33076,PCGS,1890-10C-
33077,,1894,10C,,MS,,0,33077,,33077,PCGS,1894-10C-
33078,,1896,10C,,MS,,0,33078,,33078,PCGS,1896-10C-
33082,,VICTORIA,10C,,SP,,0,33082,,33082,PCGS,VICTORIA-10C-
33083,,1865,10C,REED EDGE,SP,,0,33083,,33083,PCGS,1865-10C-REED EDGE
33084,,1865,10C,PLAIN EDGE,SP,,0,33084,,33084,PCGS,1865-10C-PLAIN EDGE
33085,,1870,10C,PLAIN EDGE,SP,,0,33085,,33085,PCGS,1870-10C-PLAIN EDGE
33086,,1870,10C,REED EDGE,SP,,0,33086,,33086,PCGS,1870-10C-REED EDGE
33087,,1880,10C,,SP,,0,33087,,33087,PCGS,1880-10C-
33088,,1882-H,10C,,SP,,0,33088,,33088,PCGS,1882-H-10C-
33089,,1890,10C,,SP,,0,33089,,33089,PCGS,1890-10C-
33090,,1894,10C,,SP,,0,33090,,33090,PCGS,1894-10C-
33091,,1885,10C,,SP,,0,33091,,33091,PCGS,1885-10C-
33092,,1888,10C,,SP,,0,33092,,33092,PCGS,1888-10C-
33093,,1896,10C,,SP,,0,33093,,33093,PCGS,1896-10C-
33096,,EDWARD VII,10C,,MS,,0,33096,,33096,PCGS,EDWARD VII-10C-
33097,,1903,10C,,MS,,0,33097,,33097,PCGS,1903-10C-
33098,,1904-H,10C,,MS,,0,33098,,33098,PCGS,1904-H-10C-
33103,,EDWARD VII,10C,,SP,,0,33103,,33103,PCGS,EDWARD VII-10C-
33104,,1903,10C,,SP,,0,33104,,33104,PCGS,1903-10C-
33105,,1904-H,10C,,SP,,0,33105,,33105,PCGS,1904-H-10C-
33110,,GEORGE V,10C,,MS,,0,33110,,33110,PCGS,GEORGE V-10C-
33111,,1912,10C,,MS,,0,33111,,33111,PCGS,1912-10C-
33112,,1917-C,10C,,MS,,0,33112,,33112,PCGS,1917-C-10C-
33113,,1919-C,10C,,MS,,0,33113,,33113,PCGS,1919-C-10C-
33118,,GEORGE V,10C,,SP,,0,33118,,33118,PCGS,GEORGE V-10C-
33119,,1912,10C,,SP,,0,33119,,33119,PCGS,1912-10C-
33120,,1917-C,10C,,SP,,0,33120,,33120,PCGS,1917-C-10C-
33121,,1919-C,10C,,SP,,0,33121,,33121,PCGS,1919-C-10C-
33126,,GEORGE VI,10C,,MS,,0,33126,,33126,PCGS,GEORGE VI-10C-
33127,,1938,10C,,MS,,0,33127,,33127,PCGS,1938-10C-
33128,,1940,10C,,MS,,0,33128,,33128,PCGS,1940-10C-
33129,,1941-C,10C,,MS,,0,33129,,33129,PCGS,1941-C-10C-
33130,,1942-C,10C,,MS,,0,33130,,33130,PCGS,1942-C-10C-
33131,,1943-C,10C,,MS,,0,33131,,33131,PCGS,1943-C-10C-
33132,,1944-C,10C,,MS,,0,33132,,33132,PCGS,1944-C-10C-
33133,,1945-C,10C,,MS,,0,33133,,33133,PCGS,1945-C-10C-
33134,,1946-C,10C,,MS,,0,33134,,33134,PCGS,1946-C-10C-
33135,,1947-C,10C,,MS,,0,33135,,33135,PCGS,1947-C-10C-
33136,,GEORGE VI,10C,,PL,,0,33136,,33136,PCGS,GEORGE VI-10C-
33137,,1946-C,10C,,PL,,0,33137,,33137,PCGS,1946-C-10C-
33138,,1947C,10C,,PL,,0,33138,,33138,PCGS,1947C-10C-
33147,,GEORGE VI,10C,,SP,,0,33147,,33147,PCGS,GEORGE VI-10C-
33148,,1938,10C,,SP,,0,33148,,33148,PCGS,1938-10C-
33149,,1940,10C,,SP,,0,33149,,33149,PCGS,1940-10C-
33152,,1946-C,10C,,SP,,0,33152,,33152,PCGS,1946-C-10C-
33154,,VICTORIA,20C,,MS,,0,33154,,33154,PCGS,VICTORIA-20C-
33155,,1865,20C,,MS,,0,33155,,33155,PCGS,1865-20C-
33156,,1870,20C,,MS,,0,33156,,33156,PCGS,1870-20C-
33157,,1872-H,20C,,MS,,0,33157,,33157,PCGS,1872-H-20C-
33158,,1873,20C,,MS,,0,33158,,33158,PCGS,1873-20C-
33159,,1876-H,20C,,MS,,0,33159,,33159,PCGS,1876-H-20C-
33160,,1880,20C,,MS,,0,33160,,33160,PCGS,1880-20C-
33161,,1881,20C,,MS,,0,33161,,33161,PCGS,1881-20C-
33162,,1882-H,20C,,MS,,0,33162,,33162,PCGS,1882-H-20C-
33163,,1885,20C,,MS,,0,33163,,33163,PCGS,1885-20C-
33164,,1888,20C,,MS,,0,33164,,33164,PCGS,1888-20C-
33165,,1890,20C,,MS,,0,33165,,33165,PCGS,1890-20C-
33166,,1894,20C,,MS,,0,33166,,33166,PCGS,1894-20C-
33167,,1896,20C,SMALL 96,MS,,0,33167,,33167,PCGS,1896-20C-SMALL 96
33168,,1896,20C,LARGE 96,MS,,0,33168,,33168,PCGS,1896-20C-LARGE 96
33169,,1899,20C,SMALL 99,MS,,0,33169,,33169,PCGS,1899-20C-SMALL 99
33170,,1899,20C,LARGE 99,MS,,0,33170,,33170,PCGS,1899-20C-LARGE 99
33171,,1900,20C,,MS,,0,33171,,33171,PCGS,1900-20C-
33175,,VICTORIA,20C,,SP,,0,33175,,,,VICTORIA-20C-
33176,,1865,20C,REED EDGE,SP,,0,33176,,33176,PCGS,1865-20C-REED EDGE
33177,,1865,20C,PLAIN EDGE,SP,,0,33177,,33177,PCGS,1865-20C-PLAIN EDGE
33178,,1870,20C,PLAIN EDGE,SP,,0,33178,,33178,PCGS,1870-20C-PLAIN EDGE
33179,,1870,20C,REED EDGE,SP,,0,33179,,33179,PCGS,1870-20C-REED EDGE
33180,,1880,20C,,SP,,0,33180,,33180,PCGS,1880-20C-
33181,,1882-H,20C,,SP,,0,33181,,33181,PCGS,1882-H-20C-
33182,,1890,20C,,SP,,0,33182,,33182,PCGS,1890-20C-
33183,,1896,20C,,SP,,0,33183,,33183,PCGS,1896-20C-
33184,,EDWARD VII,20C,,SP,,0,33184,,33184,PCGS,EDWARD VII-20C-
33185,,1904-H,20C,,SP,,0,33185,,33185,PCGS,1904-H-20C-
33186,,1888,20C,,SP,,0,33186,,33186,PCGS,1888-20C-
33187,,1885,20C,,SP,,0,33187,,33187,PCGS,1885-20C-
33188,,EDWARD VII,20C,,MS,,0,33188,,33188,PCGS,EDWARD VII-20C-
33189,,1904-H,20C,,MS,,0,33189,,33189,PCGS,1904-H-20C-
33199,,GEORGE V,20C,,MS,,0,33199,,33199,PCGS,GEORGE V-20C-
33200,,1912,20C,,MS,,0,33200,,33200,PCGS,1912-20C-
33205,,GEORGE V,20C,,SP,,0,33205,,33205,PCGS,GEORGE V-20C-
33206,,1912,20C,,SP,,0,33206,,33206,PCGS,1912-20C-
33210,,GEORGE V,25C,,MS,,0,33210,,33210,PCGS,GEORGE V-25C-
33211,,1917-C,25C,,MS,,0,33211,,33211,PCGS,1917-C-25C-
33212,,1919-C,25C,,MS,,0,33212,,33212,PCGS,1919-C-25C-
33217,,GEORGE V,25C,,SP,,0,33217,,33217,PCGS,GEORGE V-25C-
33218,,1917-C,25C,,SP,,0,33218,,33218,PCGS,1917-C-25C-
33219,,1919-C,25C,,SP,,0,33219,,33219,PCGS,1919-C-25C-
33224,,VICTORIA,50C,,MS,,0,33224,,33224,PCGS,VICTORIA-50C-
33225,,1870,50C,,MS,,0,33225,,33225,PCGS,1870-50C-
33226,,1872-H,50C,,MS,,0,33226,,33226,PCGS,1872-H-50C-
33227,,1873,50C,,MS,,0,33227,,33227,PCGS,1873-50C-
33228,,1874,50C,,MS,,0,33228,,33228,PCGS,1874-50C-
33229,,1876-H,50C,,MS,,0,33229,,33229,PCGS,1876-H-50C-
33230,,1880,50C,,MS,,0,33230,,33230,PCGS,1880-50C-
33231,,1881,50C,,MS,,0,33231,,33231,PCGS,1881-50C-
33232,,1882-H,50C,,MS,,0,33232,,33232,PCGS,1882-H-50C-
33233,,1885,50C,,MS,,0,33233,,33233,PCGS,1885-50C-
33234,,1888,50C,,MS,,0,33234,,33234,PCGS,1888-50C-
33235,,1894,50C,,MS,,0,33235,,33235,PCGS,1894-50C-
33236,,1896,50C,,MS,,0,33236,,33236,PCGS,1896-50C-
33237,,1898,50C,,MS,,0,33237,,33237,PCGS,1898-50C-
33238,,1899,50C,NARROW 9,MS,,0,33238,,33238,PCGS,1899-50C-NARROW 9
33239,,1899,50C,WIDE 9,MS,,0,33239,,33239,PCGS,1899-50C-WIDE 9
33240,,1900,50C,,MS,,0,33240,,33240,PCGS,1900-50C-
33244,,VICTORIA,50C,,SP,,0,33244,,,,VICTORIA-50C-
33245,,1874,50C,,SP,,0,33245,,33245,PCGS,1874-50C-
33246,,1870,50C,PLAIN EDGE,SP,,0,33246,,33246,PCGS,1870-50C-PLAIN EDGE
33247,,1870,50C,REED EDGE,SP,,0,33247,,33247,PCGS,1870-50C-REED EDGE
33248,,1880,50C,,SP,,0,33248,,33248,PCGS,1880-50C-
33249,,1881,50C,,SP,,0,33249,,33249,PCGS,1881-50C-
33250,,1882-H,50C,,SP,,0,33250,,33250,PCGS,1882-H-50C-
33253,,1885,50C,,SP,,0,33253,,33253,PCGS,1885-50C-
33254,,1896,50C,,SP,,0,33254,,33254,PCGS,1896-50C-
33255,,EDWARD VII,50C,,MS,,0,33255,,33255,PCGS,EDWARD VII-50C-
33256,,1904-H,50C,,MS,,0,33256,,33256,PCGS,1904-H-50C-
33257,,1907,50C,,MS,,0,33257,,33257,PCGS,1907-50C-
33258,,1908,50C,,MS,,0,33258,,33258,PCGS,1908-50C-
33259,,1909,50C,,MS,,0,33259,,33259,PCGS,1909-50C-
33261,,1904-H,50C,,SP,,0,33261,,33261,PCGS,1904-H-50C-
33264,,GEORGE V,50C,,MS,,0,33264,,33264,PCGS,GEORGE V-50C-
33265,,1911,50C,,MS,,0,33265,,33265,PCGS,1911-50C-
33266,,1917-C,50C,,MS,,0,33266,,33266,PCGS,1917-C-50C-
33267,,1918-C,50C,,MS,,0,33267,,33267,PCGS,1918-C-50C-
33268,,1919-C,50C,,MS,,0,33268,,33268,PCGS,1919-C-50C-
33273,,GEORGE V,50C,,SP,,0,33273,,33273,PCGS,GEORGE V-50C-
33274,,1917-C,50C,,SP,,0,33274,,33274,PCGS,1917-C-50C-
33275,,1919-C,50C,,SP,,0,33275,,33275,PCGS,1919-C-50C-
33280,,VICTORIA,$2 ,,MS,,0,33280,,33280,PCGS,VICTORIA-2-
33281,,1865,$2 ,,MS,,0,33281,,33281,PCGS,1865-2-
33282,,1870,$2 ,D-2 NO DOT AFTER,MS,,0,33282,,33282,PCGS,1870-2-D-2 NO DOT AFTER
33283,,1872,$2 ,,MS,,0,33283,,33283,PCGS,1872-2-
33284,,1880,$2 ,,MS,,0,33284,,33284,PCGS,1880-2-
33285,,1881,$2 ,,MS,,0,33285,,33285,PCGS,1881-2-
33286,,1882-H,$2 ,,MS,,0,33286,,33286,PCGS,1882-H-2-
33287,,1885,$2 ,,MS,,0,33287,,33287,PCGS,1885-2-
33288,,1888,$2 ,,MS,,0,33288,,33288,PCGS,1888-2-
33289,,1870,$2 ,D-1 DOT AFTER NF,MS,,0,33289,,33289,PCGS,1870-2-D-1 DOT AFTER NF
33293,,VICTORIA,$2 ,,SP,,0,33293,,33293,PCGS,VICTORIA-2-
33294,,1865,$2 ,PLAIN EDGE,SP,,0,33294,,33294,PCGS,1865-2-PLAIN EDGE
33296,,1870,$2 ,PLAIN EDGE,SP,,0,33296,,33296,PCGS,1870-2-PLAIN EDGE
33297,,1870,$2 ,REED EDGE,SP,,0,33297,,33297,PCGS,1870-2-REED EDGE
33298,,1872,$2 ,PLAIN EDGE,SP,,0,33298,,33298,PCGS,1872-2-PLAIN EDGE
33299,,1872,$2 ,REED EDGE,SP,,0,33299,,33299,PCGS,1872-2-REED EDGE
33300,,1882-H,$2 ,,SP,,0,33300,,33300,PCGS,1882-H-2-
33301,,1880,$2 ,,SP,,0,33301,,33301,PCGS,1880-2-
33302,,1885,$2 ,,SP,,0,33302,,33302,PCGS,1885-2-
33303,,1861,1/2C,,MS,BN,0,33303,,33303,PCGS,1861-1/2C-
33304,,1861,1/2C,,MS,RB,0,33304,,33304,PCGS,1861-1/2C-
33305,,1861,1/2C,,MS,RD,0,33305,,33305,PCGS,1861-1/2C-
33308,,1861,1/2C,,SP,BN,0,33308,,33308,PCGS,1861-1/2C-
33309,,1861,1/2C,,SP,RB,0,33309,,33309,PCGS,1861-1/2C-
33310,,1861,1/2C,,SP,RD,0,33310,,33310,PCGS,1861-1/2C-
33313,,VICTORIA,1C,,MS,BN,0,33313,,33313,PCGS,VICTORIA-1C-
33314,,VICTORIA,1C,,MS,RB,0,33314,,33314,PCGS,VICTORIA-1C-
33315,,VICTORIA,1C,,MS,RD,0,33315,,33315,PCGS,VICTORIA-1C-
33316,,1861,1C,,MS,BN,0,33316,,33316,PCGS,1861-1C-
33317,,1861,1C,,MS,RB,0,33317,,33317,PCGS,1861-1C-
33318,,1861,1C,,MS,RD,0,33318,,33318,PCGS,1861-1C-
33319,,1864,1C,SHORT 6,MS,BN,0,33319,,33319,PCGS,1864-1C-SHORT 6
33320,,1864,1C,SHORT 6,MS,RB,0,33320,,33320,PCGS,1864-1C-SHORT 6
33321,,1864,1C,SHORT 6,MS,RD,0,33321,,33321,PCGS,1864-1C-SHORT 6
33324,,1861,1C,,SP,BN,0,33324,,33324,PCGS,1861-1C-
33325,,1861,1C,,SP,RB,0,33325,,33325,PCGS,1861-1C-
33326,,1861,1C,,SP,RD,0,33326,,33326,PCGS,1861-1C-
33329,,VICTORIA,5C,,MS,,0,33329,,33329,PCGS,VICTORIA-5C-
33330,,1862,5C,,MS,,0,33330,,33330,PCGS,1862-5C-
33331,,1864,5C,SMALL 6,MS,,0,33331,,33331,PCGS,1864-5C-SMALL 6
33334,,1862,5C,PL EDGE,SP,,0,33334,,33334,PCGS,1862-5C-PL EDGE
33337,,VICTORIA,10C,,MS,,0,33337,,33337,PCGS,VICTORIA-10C-
33338,,1862,10C,,MS,,0,33338,,33338,PCGS,1862-10C-
33339,,1862,10C,DBL 2,MS,,0,33339,,33339,PCGS,1862-10C-DBL 2
33340,,1864,10C,,MS,,0,33340,,33340,PCGS,1864-10C-
33344,,1862,10C,PL EDGE,SP,,0,33344,,33344,PCGS,1862-10C-PL EDGE
33347,,VICTORIA,20C,,MS,,0,33347,,33347,PCGS,VICTORIA-20C-
33348,,1862,20C,,MS,,0,33348,,33348,PCGS,1862-20C-
33349,,1864,20C,,MS,,0,33349,,33349,PCGS,1864-20C-
33352,,1862,20C,PLAIN EDGE,SP,,0,33352,,33352,PCGS,1862-20C-PLAIN EDGE
33355,,VICTORIA,1/2C,,MS,BN,0,33355,,33355,PCGS,VICTORIA-1/2C-
33356,,VICTORIA,1/2C,,MS,RB,0,33356,,33356,PCGS,VICTORIA-1/2C-
33357,,VICTORIA,1/2C,,MS,RD,0,33357,,33357,PCGS,VICTORIA-1/2C-
33358,,1861,1/2C,,MS,BN,0,33358,,33358,PCGS,1861-1/2C-
33359,,1861,1/2C,,MS,RB,0,33359,,33359,PCGS,1861-1/2C-
33360,,1861,1/2C,,MS,RD,0,33360,,33360,PCGS,1861-1/2C-
33361,,1864,1/2C,,MS,BN,0,33361,,33361,PCGS,1864-1/2C-
33362,,1864,1/2C,,MS,RB,0,33362,,33362,PCGS,1864-1/2C-
33363,,1864,1/2C,,MS,RD,0,33363,,33363,PCGS,1864-1/2C-
33366,,1861,1/2C,,SP,BN,0,33366,,33366,PCGS,1861-1/2C-
33367,,1861,1/2C,,SP,RB,0,33367,,33367,PCGS,1861-1/2C-
33368,,1861,1/2C,,SP,RD,0,33368,,33368,PCGS,1861-1/2C-
33371,,VICTORIA,1C,,MS,BN,0,33371,,33371,PCGS,VICTORIA-1C-
33372,,VICTORIA,1C,,MS,RB,0,33372,,33372,PCGS,VICTORIA-1C-
33373,,VICTORIA,1C,,MS,RD,0,33373,,33373,PCGS,VICTORIA-1C-
33374,,1861,1C,LARGE BUD,MS,BN,0,33374,,33374,PCGS,1861-1C-LARGE BUD
33375,,1861,1C,LARGE BUD,MS,RB,0,33375,,33375,PCGS,1861-1C-LARGE BUD
33376,,1861,1C,LARGE BUD,MS,RD,0,33376,,33376,PCGS,1861-1C-LARGE BUD
33377,,1862,1C,,MS,BN,0,33377,,33377,PCGS,1862-1C-
33378,,1862,1C,,MS,RB,0,33378,,33378,PCGS,1862-1C-
33379,,1862,1C,,MS,RD,0,33379,,33379,PCGS,1862-1C-
33382,,1861,1C,,SP,BN,0,33382,,33382,PCGS,1861-1C-
33383,,1861,1C,,SP,RB,0,33383,,33383,PCGS,1861-1C-
33384,,1861,1C,,SP,RD,0,33384,,33384,PCGS,1861-1C-
33385,,1864,1C,,MS,BN,0,33385,,,,1864-1C-
33386,,1864,1C,,MS,RB,0,33386,,33386,PCGS,1864-1C-
33387,,1864,1C,,MS,RD,0,33387,,33387,PCGS,1864-1C-
33388,,1864,1C,,SP,BN,0,33388,,33388,PCGS,1864-1C-
33389,,1864,1C,,SP,RB,0,33389,,33389,PCGS,1864-1C-
33390,,1864,1C,,SP,RD,0,33390,,33390,PCGS,1864-1C-
33392,,1871,1C,,MS,BN,0,33392,,33392,PCGS,1871-1C-
33393,,1871,1C,,MS,RB,0,33393,,33393,PCGS,1871-1C-
33394,,1871,1C,,MS,RD,0,33394,,33394,PCGS,1871-1C-
33395,,1871,1C,COINAGE,SP,BN,0,33395,,33395,PCGS,1871-1C-COINAGE
33396,,1871,1C,COINAGE,SP,RB,0,33396,,33396,PCGS,1871-1C-COINAGE
33397,,1871,1C,COINAGE,SP,RD,0,33397,,33397,PCGS,1871-1C-COINAGE
33413,CANADA,1865,20C,NF-13,SP,,0,33413,1/1/1900,33413,PCGS,1865-20C-NF-13
33500,CANADA,1911,S$1,MATTE,SP,,0,33500,,33500,PCGS,1911-S$1-MATTE
33502,CANADA,OLYMPIC,$5 ,,MS,,0,33502,,33502,PCGS,OLYMPIC-5-
33503,CANADA,1973,$5 ,NORTH AMERICA,MS,,0,33503,,,,1973-5-NORTH AMERICA
33504,CANADA,1973,$5 ,SAILBOATS,MS,,0,33504,,,,1973-5-SAILBOATS
33505,CANADA,1974,$5 ,OLYMPIC TORCH,MS,,0,33505,,,,1974-5-OLYMPIC TORCH
33506,CANADA,1974,$5 ,OLYMPIC RINGS,MS,,0,33506,,,,1974-5-OLYMPIC RINGS
33507,CANADA,1974,$5 ,CANOEING,MS,,0,33507,,,,1974-5-CANOEING
33508,CANADA,1974,$5 ,ROWING,MS,,0,33508,,,,1974-5-ROWING
33511,CANADA,1975,$5 ,DIVING,MS,,0,33511,,,,1975-5-DIVING
33512,CANADA,1975,$5 ,SWIMMING,MS,,0,33512,,,,1975-5-SWIMMING
33520,CANADA,OLYMPIC,$10 ,,MS,,0,33520,,33520,PCGS,OLYMPIC-10-
33521,CANADA,1973,$10 ,WORLD MAP,MS,,0,33521,,33521,PCGS,1973-10-WORLD MAP
33522,CANADA,1973,$10 ,SKYLINE,MS,,0,33522,,33522,PCGS,1973-10-SKYLINE
33523,CANADA,1974,$10 ,ZEUS,MS,,0,33523,,,,1974-10-ZEUS
33524,CANADA,1974,$10 ,TEMPLE OF ZEUS,MS,,0,33524,,,,1974-10-TEMPLE OF ZEUS
33525,CANADA,1974,$10 ,LACROSSE,MS,,0,33525,,,,1974-10-LACROSSE
33526,CANADA,1974,$10 ,CYCLING,MS,,0,33526,,,,1974-10-CYCLING
33529,CANADA,1975,$10 ,PADDLING,MS,,0,33529,,,,1975-10-PADDLING
33530,CANADA,1975,$10 ,SAILING,MS,,0,33530,,33530,PCGS,1975-10-SAILING
33535,CANADA,OLYMPIC,$5 ,,PR,,0,33535,,33535,PCGS,OLYMPIC-5-
33538,CANADA,1974,$5 ,TORCH,PR,,0,33538,,33538,PCGS,1974-5-TORCH
33569,CANADA,1985,$20 ,DOWNHILL,PR,,0,33569,,33569,PCGS,1985-20-DOWNHILL
33570,CANADA,1985,$20 ,SPD.SKAT.,PR,,0,33570,,33570,PCGS,1985-20-SPD.SKAT.
33571,CANADA,1985,$20PE,SPD.SKAT.,PR,,0,33571,,33571,PCGS,1985-$20PE-SPD.SKAT.
33572,CANADA,1986,$20 ,HOCKEY,PR,,0,33572,,33572,PCGS,1986-20-HOCKEY
33573,CANADA,1986,$20PE,HOCKEY,PR,,0,33573,,33573,PCGS,1986-$20PE-HOCKEY
33574,CANADA,1986,$20 ,BIATHLON,PR,,0,33574,,33574,PCGS,1986-20-BIATHLON
33575,CANADA,1986,$20PE,BIATHLON,PR,,0,33575,,33575,PCGS,1986-$20PE-BIATHLON
33576,CANADA,1986,$20 ,X-COUNTRY,PR,,0,33576,,33576,PCGS,1986-20-X-COUNTRY
33577,CANADA,1986,$20 ,FREE STYLE,PR,,0,33577,,33577,PCGS,1986-20-FREE STYLE
33578,CANADA,1986,$20PE,FREE STYLE,PR,,0,33578,,33578,PCGS,1986-$20PE-FREE STYLE
33579,CANADA,1987,$20 ,FIGURE SKATING,PR,,0,33579,,33579,PCGS,1987-20-FIGURE SKATING
33580,CANADA,1987,$20 ,CURLING,PR,,0,33580,,33580,PCGS,1987-20-CURLING
33581,CANADA,1987,$20 ,SKI-JUMP,PR,,0,33581,,33581,PCGS,1987-20-SKI-JUMP
33582,CANADA,1987,$20 ,BOBSLEIGH,PR,,0,33582,,33582,PCGS,1987-20-BOBSLEIGH
33601,,1860,P1/2C,NS-1,SP,BN,0,33601,,33601,PCGS,1860-P1/2C-NS-1
33602,,1860,P1/2C,NS-1,SP,RB,0,33602,,33602,PCGS,1860-P1/2C-NS-1
33603,,1860,P1/2C,NS-1,SP,RD,0,33603,,33603,PCGS,1860-P1/2C-NS-1
33604,,1860,P1C,NS-2,SP,BN,0,33604,,33604,PCGS,1860-P1C-NS-2
33605,,1860,P1C,NS-2,SP,RB,0,33605,,33605,PCGS,1860-P1C-NS-2
33606,,1860,P1C,NS-2,SP,RD,0,33606,,33606,PCGS,1860-P1C-NS-2
33607,,1861,P1/2C,NS-3,SP,BN,0,33607,,33607,PCGS,1861-P1/2C-NS-3
33608,,1861,P1/2C,NS-3,SP,RB,0,33608,,33608,PCGS,1861-P1/2C-NS-3
33609,,1861,P1/2C,NS-3,SP,RD,0,33609,,33609,PCGS,1861-P1/2C-NS-3
33610,,1861,P1C,NS-4,SP,BN,0,33610,,33610,PCGS,1861-P1C-NS-4
33611,,1861,P1C,NS-4,SP,RB,0,33611,,33611,PCGS,1861-P1C-NS-4
33612,,1861,P1C,NS-4,SP,RD,0,33612,,33612,PCGS,1861-P1C-NS-4
33613,,1861,P1/2C,NS-5,SP,BN,0,33613,,33613,PCGS,1861-P1/2C-NS-5
33614,,1861,P1/2C,NS-5,SP,RB,0,33614,,33614,PCGS,1861-P1/2C-NS-5
33615,,1861,P1/2C,NS-5,SP,RD,0,33615,,33615,PCGS,1861-P1/2C-NS-5
33616,,1861,P1C,NS-6,MS,BN,0,33616,,33616,PCGS,1861-P1C-NS-6
33617,,1861,P1C,NS-6,MS,RB,0,33617,,33617,PCGS,1861-P1C-NS-6
33618,,1861,P1C,NS-6,MS,RD,0,33618,,33618,PCGS,1861-P1C-NS-6
33619,,1861,P1/2C,NS-7,SP,BN,0,33619,,33619,PCGS,1861-P1/2C-NS-7
33620,,1861,P1/2C,NS-7,SP,RB,0,33620,,33620,PCGS,1861-P1/2C-NS-7
33621,,1861,P1/2C,NS-7,SP,RD,0,33621,,33621,PCGS,1861-P1/2C-NS-7
33622,,1861,P1C,NS-8,SP,BN,0,33622,,33622,PCGS,1861-P1C-NS-8
