Pcgs_no,Country,Coin_date,Denomination,Variety,Prefix,Suffix,Qty_Minted,Reference_no,RowLastUpdated,coin_no,Service,Coin_date_Denomination_Variety
239,,1766,1/2P,"PITT, SILVERED",MS,,0,239,,239,PCGS,"1766-1/2P-PITT, SILVERED"
240,,1773,1/2P,"VIRGINIA, PERIOD",MS,BN,0,240,,240,PCGS,"1773-1/2P-VIRGINIA, PERIOD"
241,,1773,1/2P,"VIRGINIA, PERIOD",MS,RB,0,241,,241,PCGS,"1773-1/2P-VIRGINIA, PERIOD"
242,,1773,1/2P,"VIRGINIA, PERIOD",MS,RD,0,242,,242,PCGS,"1773-1/2P-VIRGINIA, PERIOD"
243,,1773,1/2P,"VIRGINIA, NO PER",MS,BN,0,243,,243,PCGS,"1773-1/2P-VIRGINIA, NO PER"
244,,1773,1/2P,"VIRGINIA, NO PER",MS,RB,0,244,,244,PCGS,"1773-1/2P-VIRGINIA, NO PER"
245,,1773,1/2P,"VIRGINIA, NO PER",MS,RD,0,245,,245,PCGS,"1773-1/2P-VIRGINIA, NO PER"
246,,1773,PENNY,VIRGINIA,PR,BN,0,246,,246,PCGS,1773-PENNY-VIRGINIA
247,,1773,PENNY,VIRGINIA,PR,RB,0,247,,247,PCGS,1773-PENNY-VIRGINIA
248,,1773,PENNY,VIRGINIA,PR,RD,0,248,,248,PCGS,1773-PENNY-VIRGINIA
249,,1774/3,SHILNG,VIRGINIA,PR,,0,249,,249,PCGS,1774/3-SHILNG-VIRGINIA
256,,1760,FARTH,"VOCE POP, LG LET",MS,BN,0,256,,256,PCGS,"1760-FARTH-VOCE POP, LG LET"
259,,1760,FARTH,"VOCE POP, SM LET",MS,BN,0,259,,259,PCGS,"1760-FARTH-VOCE POP, SM LET"
262,,1760,1/2P,VOCE POPULI,MS,BN,0,262,,262,PCGS,1760-1/2P-VOCE POPULI
265,,1760,1/2P,"VOCE POP, 'VOOE'",MS,BN,0,265,,265,PCGS,"1760-1/2P-VOCE POP, 'VOOE'"
268,,1760,1/2P,"VOCE POP, P BELO",MS,BN,0,268,,268,PCGS,"1760-1/2P-VOCE POP, P BELO"
271,,1760,1/2P,"VOCE POP, P AT F",MS,BN,0,271,,271,PCGS,"1760-1/2P-VOCE POP, P AT F"
274,,1700,1/2P,"VOCE POP, BLUND ",MS,BN,0,274,,274,PCGS,"1700-1/2P-VOCE POP, BLUND "
286,,1776,COPPER,NEW HAMPSHIRE,MS,BN,0,286,,286,PCGS,1776-COPPER-NEW HAMPSHIRE
